Zeit,I1max,I2max,I3max
17.08.2017 03:00,8.36746,4.38162,10.3904
17.08.2017 03:10,7.69486,9.43444,7.7103
17.08.2017 03:20,6.85932,9.6615,6.81851
17.08.2017 03:30,2.46265,9.29599,9.95729
17.08.2017 03:40,6.3741,9.08977,6.1736
17.08.2017 03:50,7.71653,3.80047,11.1133
17.08.2017 04:00,11.4772,9.16027,10.7747
17.08.2017 04:10,8.47568,9.21165,9.36862
17.08.2017 04:20,2.67239,9.06669,6.58734
17.08.2017 04:30,4.84448,10.3835,6.19388
17.08.2017 04:40,5.76002,10.3972,9.00672
17.08.2017 04:50,7.76106,4.61743,12.4774
17.08.2017 05:00,7.3223,10.5969,7.53462
17.08.2017 05:10,11.0117,4.03731,9.14718
17.08.2017 05:20,10.1456,10.1411,9.91365
17.08.2017 05:30,7.01916,10.3772,9.69774
17.08.2017 05:40,6.64283,3.71393,12.188
17.08.2017 05:50,3.05028,10.5895,6.89304
17.08.2017 06:00,7.94673,9.26904,9.78747
17.08.2017 06:10,9.7031,4.05599,11.3169
17.08.2017 06:20,3.47337,8.95336,15.0956
17.08.2017 06:30,11.3001,10.7559,10.6147
17.08.2017 06:40,13.2361,12.7647,17.8448
17.08.2017 06:50,11.368,12.5971,12.308
17.08.2017 07:00,3.63909,15.4167,10.6455
17.08.2017 07:10,7.72431,22.6152,10.4752
17.08.2017 07:20,6.53355,9.05385,10.9702
17.08.2017 07:30,7.4708,3.96311,10.6543
17.08.2017 07:40,11.156,9.41638,10.7967
17.08.2017 07:50,12.5591,11.7823,16.5207
17.08.2017 08:00,8.26644,8.65072,14.6281
17.08.2017 08:10,21.0582,14.9733,22.234
17.08.2017 08:20,9.96403,9.14106,18.2668
17.08.2017 08:30,12.0493,11.102,17.6805
17.08.2017 08:40,9.5215,10.3882,8.68889
17.08.2017 08:50,19.3355,3.27832,12.6757
17.08.2017 09:00,17.0018,10.5965,12.5113
17.08.2017 09:10,10.2165,10.336,12.0847
17.08.2017 09:20,8.72656,7.2491,10.0358
17.08.2017 09:30,8.73426,9.04799,9.61044
17.08.2017 09:40,7.82562,9.2935,12.5554
17.08.2017 09:50,5.77584,5.39611,10.8575
17.08.2017 10:00,5.67759,11.1911,12.557
17.08.2017 10:10,11.9646,10.3466,19.7535
17.08.2017 10:20,20.2091,26.545,35.9585
17.08.2017 10:30,12.6635,16.8605,19.7362
17.08.2017 10:40,15.358,16.3718,17.0002
17.08.2017 10:50,13.3654,12.0355,13.6347
17.08.2017 11:00,12.3887,11.0644,9.92706
17.08.2017 11:10,8.06057,7.98657,12.0717
17.08.2017 11:20,13.0617,9.26967,7.66156
17.08.2017 11:30,8.70001,23.3541,16.7228
17.08.2017 11:40,20.2952,20.2555,25.841
17.08.2017 11:50,32.5082,20.6946,25.0644
17.08.2017 12:00,19.3743,20.2908,22.6161
17.08.2017 12:10,22.8882,17.5511,13.9184
17.08.2017 12:20,9.72019,14.5254,17.1369
17.08.2017 12:30,7.83051,7.31344,14.9922
17.08.2017 12:40,11.9687,9.16298,11.4137
17.08.2017 12:50,10.4788,9.56469,23.0812
17.08.2017 13:00,8.62474,5.81246,19.2245
17.08.2017 13:10,11.506,9.40574,24.3923
17.08.2017 13:20,16.3806,10.5684,21.5982
17.08.2017 13:30,9.22328,3.19011,10.4993
17.08.2017 13:40,12.7681,10.5405,16.6692
17.08.2017 13:50,13.7611,4.58871,10.3902
17.08.2017 14:00,9.67244,10.1032,10.2085
17.08.2017 14:10,8.0095,9.18405,11.9484
17.08.2017 14:20,12.5075,10.631,17.8194
17.08.2017 14:30,7.67153,10.2724,7.80948
17.08.2017 14:40,10.0766,14.0817,8.80001
17.08.2017 14:50,5.49309,6.54188,11.0535
17.08.2017 15:00,12.0765,9.28746,16.7805
